,City,Latitude,Longitude,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Country,Date
0,port arthur,38.8,121.27,75.2,69.0,75.0,4.0,CN,06/24/2020
1,mayya,61.73,130.28,75.2,38.0,0.0,1.0,RU,06/24/2020
3,klaksvik,62.23,-6.59,50.0,93.0,18.0,4.1,FO,06/24/2020
4,vestmannaeyjar,63.44,-20.27,50.18000000000004,89.0,2.0,2.4,IS,06/24/2020
5,kabansk,52.05,106.65,69.8,60.0,20.0,1.0,RU,06/24/2020
6,dikson,73.51,80.55,42.908,88.0,100.0,5.2,RU,06/24/2020
7,avarua,-21.21,-159.78,73.4,88.0,58.0,3.1,CK,06/24/2020
8,avera,33.19,-82.53,71.6,89.0,1.0,1.5,US,06/24/2020
9,ushuaia,-54.8,-68.3,35.6,93.0,90.0,5.1,AR,06/24/2020
10,nansio,-2.13,33.05,72.51800000000009,65.0,22.0,7.45,TZ,06/24/2020
11,wainwright,52.84,-110.86,64.22000000000006,74.0,67.0,2.01,CA,06/24/2020
12,huinan,42.62,126.26,74.75,55.0,0.0,2.93,CN,06/24/2020
13,mataura,-46.19,168.86,52.268000000000086,69.0,0.0,4.16,NZ,06/24/2020
14,daru,-9.08,143.21,80.99600000000005,84.0,28.0,6.5,PG,06/24/2020
15,rikitea,-23.12,-134.97,70.97000000000006,56.0,93.0,3.19,PF,06/24/2020
16,kapaa,22.08,-159.32,84.2,66.0,20.0,4.6,US,06/24/2020
17,narrabri,-30.32,149.78,53.99600000000005,62.0,90.0,3.6,AU,06/24/2020
20,jovellar,13.07,123.6,88.68200000000002,65.0,100.0,2.22,PH,06/24/2020
21,qaqortoq,60.72,-46.03,42.8,87.0,100.0,2.16,GL,06/24/2020
22,salalah,17.02,54.09,82.4,88.0,75.0,1.0,OM,06/24/2020
23,albany,42.6,-73.97,71.99600000000005,85.0,1.0,2.12,US,06/24/2020
24,provideniya,64.38,-173.3,42.8,70.0,75.0,6.0,RU,06/24/2020
25,hithadhoo,-0.6,73.08,83.89400000000008,75.0,99.0,4.39,MV,06/24/2020
26,bluff,-46.6,168.33,51.74600000000005,76.0,2.0,7.66,NZ,06/24/2020
27,odweyne,9.41,45.06,72.33800000000005,65.0,0.0,6.45,SO,06/24/2020
28,vaini,-21.2,-175.2,77.0,73.0,75.0,3.6,TO,06/24/2020
29,maceio,-9.67,-35.74,73.4,94.0,75.0,1.0,BR,06/24/2020
30,lincoln,40.8,-96.67,80.6,44.0,1.0,3.6,US,06/24/2020
31,bredasdorp,-34.53,20.04,48.2,93.0,0.0,1.84,ZA,06/24/2020
32,hermanus,-34.42,19.23,46.004000000000055,93.0,0.0,5.03,ZA,06/24/2020
33,rabo de peixe,37.8,-25.58,60.8,77.0,40.0,3.6,PT,06/24/2020
34,tuktoyaktuk,69.45,-133.04,44.6,70.0,75.0,5.1,CA,06/24/2020
35,sungaipenuh,-2.08,101.38,75.72200000000004,61.0,64.0,0.28,ID,06/24/2020
36,san quintin,30.48,-115.95,65.04800000000003,80.0,31.0,4.68,MX,06/24/2020
37,la malbaie,47.66,-70.16,62.18600000000007,74.0,0.0,4.04,CA,06/24/2020
38,lebu,-37.62,-73.65,45.30200000000008,85.0,0.0,2.18,CL,06/24/2020
39,saint-augustin,51.23,-58.65,59.702000000000076,94.0,38.0,5.71,CA,06/24/2020
40,arcata,40.87,-124.08,66.2,68.0,1.0,8.7,US,06/24/2020
41,umm kaddadah,13.6,26.69,82.61600000000001,52.0,41.0,7.34,SD,06/24/2020
42,los llanos de aridane,28.66,-17.92,71.6,73.0,90.0,6.7,ES,06/24/2020
45,arraial do cabo,-22.97,-42.03,68.0,88.0,0.0,3.1,BR,06/24/2020
46,havoysund,71.0,24.66,50.0,76.0,82.0,5.7,NO,06/24/2020
47,oriximina,-1.77,-55.87,77.19800000000002,83.0,100.0,1.64,BR,06/24/2020
48,luderitz,-26.65,15.16,64.4,45.0,0.0,1.0,NA,06/24/2020
49,chuncheng,22.17,111.79,91.00400000000005,63.0,100.0,4.64,CN,06/24/2020
50,moroni,-11.7,43.26,75.90200000000007,79.0,9.0,6.39,KM,06/24/2020
51,saint-philippe,-21.36,55.77,68.0,72.0,20.0,2.1,RE,06/24/2020
52,mapiri,-15.25,-68.17,69.06200000000005,90.0,77.0,0.41,BO,06/24/2020
53,vardo,70.37,31.11,47.39000000000002,81.0,12.0,4.71,NO,06/24/2020
54,nanortalik,60.14,-45.24,42.944000000000074,80.0,100.0,2.13,GL,06/24/2020
55,khatanga,71.97,102.5,84.23600000000008,25.0,100.0,6.13,RU,06/24/2020
56,cape town,-33.93,18.42,62.99600000000005,76.0,75.0,4.1,ZA,06/24/2020
57,goure,13.98,10.27,87.00800000000001,37.0,93.0,2.24,NE,06/24/2020
58,noumea,-22.28,166.46,78.8,54.0,0.0,4.1,NC,06/24/2020
60,dunedin,-45.87,170.5,48.00200000000008,89.0,97.0,5.93,NZ,06/24/2020
61,chokurdakh,70.63,147.92,78.674,30.0,0.0,5.23,RU,06/24/2020
62,prince rupert,54.32,-130.32,57.2,76.0,1.0,4.6,CA,06/24/2020
63,castro,-24.79,-50.01,57.272000000000034,91.0,0.0,2.11,BR,06/24/2020
64,bengkulu,-3.8,102.27,82.22000000000006,63.0,13.0,0.4,ID,06/24/2020
65,mahebourg,-20.41,57.7,71.6,88.0,75.0,6.7,MU,06/24/2020
66,olinda,-8.01,-34.86,80.6,69.0,40.0,3.1,BR,06/24/2020
67,teguldet,57.31,88.17,70.64600000000004,71.0,1.0,0.79,RU,06/24/2020
68,barrow,71.29,-156.79,35.6,74.0,90.0,4.6,US,06/24/2020
69,cockburn town,21.46,-71.14,82.65200000000007,80.0,4.0,7.55,TC,06/24/2020
70,katsuura,35.13,140.3,69.99800000000002,94.0,75.0,5.1,JP,06/24/2020
71,angoram,-4.06,144.07,90.30200000000008,57.0,22.0,2.05,PG,06/24/2020
72,mehamn,71.04,27.85,47.31800000000008,83.0,19.0,5.82,NO,06/24/2020
73,sterling,39.01,-77.43,75.99199999999999,57.0,75.0,1.5,US,06/24/2020
74,tambopata,-12.73,-69.18,73.34600000000005,93.0,100.0,0.28,PE,06/24/2020
75,ribeira grande,38.52,-28.7,63.48200000000001,68.0,0.0,3.0,PT,06/24/2020
76,fray bentos,-33.13,-58.3,55.004000000000055,93.0,100.0,13.41,UY,06/24/2020
77,moron,-34.65,-58.62,55.4,66.0,90.0,5.7,AR,06/24/2020
78,tyrma,50.08,132.17,55.31000000000008,94.0,100.0,3.11,RU,06/24/2020
79,oranjemund,-28.55,16.43,58.766000000000005,55.0,0.0,3.14,NA,06/24/2020
80,namibe,-15.2,12.15,67.64000000000001,59.0,0.0,2.95,AO,06/24/2020
81,kodiak,57.79,-152.41,53.6,81.0,90.0,6.2,US,06/24/2020
82,chimbarongo,-34.7,-71.05,46.004000000000055,100.0,90.0,3.6,CL,06/24/2020
83,muroto,33.28,134.15,75.2,83.0,75.0,1.5,JP,06/24/2020
84,taoudenni,22.68,-3.98,93.32600000000009,10.0,0.0,6.28,ML,06/24/2020
85,hambantota,6.12,81.12,77.0,100.0,20.0,2.1,LK,06/24/2020
86,grindavik,63.84,-22.43,48.2,87.0,90.0,3.6,IS,06/24/2020
87,ahuimanu,21.44,-157.84,87.8,58.0,90.0,3.1,US,06/24/2020
88,yulara,-25.24,130.99,62.6,29.0,98.0,3.1,AU,06/24/2020
89,chapais,49.78,-74.85,60.8,93.0,90.0,6.2,CA,06/24/2020
91,kurilsk,45.23,147.88,54.82400000000001,70.0,93.0,1.31,RU,06/24/2020
92,hay river,60.82,-115.8,62.6,48.0,75.0,6.7,CA,06/24/2020
93,benguela,-12.58,13.41,67.22600000000008,75.0,0.0,1.57,AO,06/24/2020
95,lorengau,-2.02,147.27,84.34400000000008,78.0,7.0,5.26,PG,06/24/2020
96,paamiut,61.99,-49.67,40.02800000000006,96.0,100.0,4.01,GL,06/24/2020
98,dawson creek,55.77,-120.24,73.4,31.0,1.0,3.6,CA,06/24/2020
99,oltu,40.55,42.0,58.49600000000005,73.0,74.0,1.74,TR,06/24/2020
100,general pico,-35.66,-63.76,42.27800000000006,88.0,0.0,2.96,AR,06/24/2020
101,margate,51.38,1.39,64.00400000000005,83.0,0.0,5.75,GB,06/24/2020
102,kampong thum,12.71,104.89,86.14400000000008,75.0,100.0,1.06,KH,06/24/2020
103,tiksi,71.69,128.87,67.56800000000008,38.0,1.0,2.74,RU,06/24/2020
104,haines junction,60.75,-137.51,54.122000000000035,42.0,0.0,5.37,CA,06/24/2020
105,thompson,55.74,-97.86,77.0,36.0,75.0,2.1,CA,06/24/2020
106,busselton,-33.65,115.33,59.0,52.0,99.0,4.73,AU,06/24/2020
107,zhetysay,40.73,68.3,76.94600000000005,23.0,0.0,1.24,KZ,06/24/2020
108,upernavik,72.79,-56.15,34.952000000000076,90.0,44.0,0.42,GL,06/24/2020
109,hilo,19.73,-155.09,80.6,69.0,90.0,6.2,US,06/24/2020
110,jamestown,42.1,-79.24,60.8,59.0,75.0,3.6,US,06/24/2020
111,east london,-33.02,27.91,67.53200000000001,26.0,0.0,3.13,ZA,06/24/2020
112,codrington,-38.27,141.97,56.26400000000003,77.0,49.0,7.1,AU,06/24/2020
113,nome,64.5,-165.41,51.998000000000026,44.0,75.0,7.2,US,06/24/2020
114,port alfred,-33.59,26.89,68.0,29.0,0.0,3.58,ZA,06/24/2020
115,san pedro,14.35,121.02,91.00400000000005,62.0,75.0,1.0,PH,06/24/2020
116,cidreira,-30.18,-50.21,67.53200000000001,75.0,15.0,2.12,BR,06/24/2020
117,lyambir,54.28,45.12,47.408,82.0,0.0,2.79,RU,06/24/2020
118,vuktyl,63.86,57.31,42.40400000000005,88.0,98.0,3.3,RU,06/24/2020
119,carnarvon,-24.87,113.63,62.6,59.0,0.0,3.6,AU,06/24/2020
120,bayangol,50.7,103.47,69.92600000000009,42.0,0.0,1.23,RU,06/24/2020
121,san ramon,37.78,-121.98,86.0,39.0,1.0,4.6,US,06/24/2020
122,anori,-3.77,-61.64,77.234,78.0,67.0,0.9,BR,06/24/2020
123,irati,-25.47,-50.65,55.92200000000004,95.0,0.0,1.14,BR,06/24/2020
124,punta arenas,-53.15,-70.92,37.4,86.0,60.0,2.6,CL,06/24/2020
125,nueve de julio,-35.44,-60.88,48.00200000000008,74.0,50.0,1.79,AR,06/24/2020
126,talnakh,69.49,88.4,57.2,82.0,68.0,2.0,RU,06/24/2020
127,kaitangata,-46.28,169.85,51.008,80.0,82.0,4.92,NZ,06/24/2020
128,hasaki,35.73,140.83,66.2,100.0,75.0,5.1,JP,06/24/2020
129,camacha,33.08,-16.33,68.0,82.0,20.0,4.1,PT,06/24/2020
130,ahipara,-35.17,173.17,62.15,82.0,97.0,2.51,NZ,06/24/2020
131,saskylakh,71.92,114.08,86.39600000000004,21.0,41.0,2.37,RU,06/24/2020
132,qaanaaq,77.48,-69.36,37.38200000000002,77.0,0.0,1.59,GL,06/24/2020
133,yarada,17.65,83.27,84.2,89.0,20.0,1.5,IN,06/24/2020
134,ketchikan,55.34,-131.65,60.8,63.0,90.0,5.1,US,06/24/2020
135,washington,47.5,-120.5,84.2,21.0,1.0,12.9,US,06/24/2020
136,puerto ayora,-0.74,-90.35,69.99800000000002,93.0,59.0,2.59,EC,06/24/2020
137,bilma,18.69,12.92,87.458,13.0,34.0,4.16,NE,06/24/2020
138,kahului,20.89,-156.47,87.8,48.0,40.0,2.6,US,06/24/2020
139,kruisfontein,-34.0,24.73,64.58000000000004,27.0,0.0,7.36,ZA,06/24/2020
140,fukue,32.69,128.84,77.0,100.0,75.0,6.7,JP,06/24/2020
141,victoria,22.29,114.16,89.00600000000003,71.0,100.0,3.13,HK,06/24/2020
142,bairiki,1.33,172.98,87.8,70.0,20.0,3.6,KI,06/24/2020
143,campo verde,-20.42,-54.07,69.8,64.0,100.0,3.1,BR,06/24/2020
144,atar,20.52,-13.05,92.858,26.0,89.0,3.72,MR,06/24/2020
145,hobart,-42.88,147.33,55.4,87.0,40.0,2.6,AU,06/24/2020
146,biltine,14.53,20.92,77.84600000000005,60.0,100.0,5.92,TD,06/24/2020
147,stantsionno-oyashinskiy,55.47,83.82,64.14800000000002,84.0,34.0,1.04,RU,06/24/2020
148,yerbogachen,61.28,108.01,70.64600000000004,50.0,0.0,1.82,RU,06/24/2020
149,eyl,7.98,49.82,82.92200000000004,62.0,0.0,9.1,SO,06/24/2020
150,carlsbad,33.16,-117.35,66.99199999999999,88.0,90.0,2.6,US,06/24/2020
151,japura,-0.32,102.35,78.44000000000003,82.0,86.0,0.82,ID,06/24/2020
152,awjilah,29.11,21.29,71.56400000000004,59.0,0.0,4.34,LY,06/24/2020
153,bossangoa,6.49,17.46,70.484,93.0,100.0,1.6,CF,06/24/2020
154,anadyr,64.75,177.48,44.6,81.0,75.0,5.0,RU,06/24/2020
155,new norfolk,-42.78,147.06,53.99600000000005,94.0,21.0,0.45,AU,06/24/2020
156,kavieng,-2.57,150.8,86.46800000000009,64.0,99.0,6.47,PG,06/24/2020
157,riverton,40.52,-111.94,87.99800000000002,22.0,1.0,3.6,US,06/24/2020
158,mozarlandia,-14.74,-50.57,73.68800000000005,58.0,0.0,1.03,BR,06/24/2020
159,sola,-13.88,167.55,81.41000000000008,78.0,0.0,4.78,VU,06/24/2020
160,erenhot,43.65,111.98,72.12200000000004,26.0,37.0,3.93,CN,06/24/2020
161,cabo san lucas,22.89,-109.91,93.2,18.0,5.0,7.7,MX,06/24/2020
162,conde,-7.26,-34.91,73.4,88.0,20.0,2.6,BR,06/24/2020
163,brae,60.4,-1.35,51.8,87.0,88.0,3.1,GB,06/24/2020
164,kamachumu,-1.62,31.62,66.92000000000006,72.0,60.0,3.9,TZ,06/24/2020
166,virginia beach,36.85,-75.98,75.99199999999999,73.0,40.0,1.5,US,06/24/2020
167,matara,5.95,80.54,79.62800000000007,85.0,100.0,4.12,LK,06/24/2020
168,tuatapere,-46.13,167.68,47.75,74.0,82.0,2.59,NZ,06/24/2020
169,chuy,-33.7,-53.46,62.79800000000002,97.0,100.0,2.64,UY,06/24/2020
170,khasan,42.43,130.64,58.838000000000044,96.0,100.0,4.45,RU,06/24/2020
171,blagoyevo,63.37,47.92,44.96000000000008,81.0,90.0,3.17,RU,06/24/2020
172,san pietro vernotico,40.49,18.0,64.4,72.0,0.0,3.1,IT,06/24/2020
173,dalvik,65.97,-18.53,53.6,71.0,20.0,6.7,IS,06/24/2020
174,quatre cocos,-20.21,57.76,71.6,88.0,75.0,6.7,MU,06/24/2020
175,hofn,64.25,-15.21,49.85600000000003,89.0,1.0,3.61,IS,06/24/2020
176,tasiilaq,65.61,-37.64,37.4,100.0,100.0,1.5,GL,06/24/2020
177,georgetown,5.41,100.34,82.4,78.0,20.0,3.6,MY,06/24/2020
178,cherskiy,68.75,161.3,64.22000000000006,31.0,86.0,2.78,RU,06/24/2020
179,bathsheba,13.22,-59.52,82.4,74.0,40.0,11.3,BB,06/24/2020
180,airai,-8.93,125.41,68.81000000000009,74.0,70.0,1.85,TL,06/24/2020
181,esperance,-33.87,121.9,53.6,71.0,0.0,4.1,AU,06/24/2020
182,vao,-22.67,167.48,70.23200000000001,60.0,0.0,5.61,NC,06/24/2020
183,lasa,46.62,10.7,53.6,87.0,5.0,1.5,IT,06/24/2020
184,oksfjord,70.24,22.35,51.998000000000026,76.0,100.0,5.7,NO,06/24/2020
185,poum,-20.23,164.02,72.14000000000001,63.0,19.0,4.69,NC,06/24/2020
186,bukama,-9.2,25.85,64.20200000000008,52.0,0.0,1.58,CD,06/24/2020
187,constitucion,-35.33,-72.42,48.50600000000003,82.0,8.0,3.93,CL,06/24/2020
188,auki,-8.77,160.7,87.71000000000008,57.0,71.0,1.89,SB,06/24/2020
189,vila franca do campo,37.72,-25.43,60.8,77.0,40.0,3.6,PT,06/24/2020
190,santa isabel do rio negro,-0.41,-65.02,74.12000000000006,91.0,93.0,0.77,BR,06/24/2020
191,puruaran,19.1,-101.53,62.00600000000003,83.0,55.0,0.45,MX,06/24/2020
192,atuona,-9.8,-139.03,79.34000000000002,69.0,36.0,6.14,PF,06/24/2020
193,forestville,38.85,-76.88,80.99600000000005,64.0,1.0,3.1,US,06/24/2020
194,kampene,-3.6,26.67,68.72000000000006,66.0,7.0,0.92,CD,06/24/2020
196,tarauaca,-8.16,-70.77,73.99400000000007,84.0,59.0,1.05,BR,06/24/2020
197,cognac,45.5,-0.25,68.0,77.0,0.0,2.57,FR,06/24/2020
198,zhigansk,66.77,123.37,73.23800000000004,48.0,0.0,5.17,RU,06/24/2020
199,kashi,39.45,75.98,71.6,21.0,20.0,4.0,CN,06/24/2020
200,neiafu,-18.65,-173.98,78.8,78.0,75.0,5.1,TO,06/24/2020
201,la rochelle,46.17,-1.15,68.0,82.0,33.0,1.0,FR,06/24/2020
203,sao sebastiao do paraiso,-20.92,-46.99,58.80200000000008,86.0,100.0,2.05,BR,06/24/2020
205,formosa,-26.18,-58.18,78.8,61.0,90.0,4.6,AR,06/24/2020
206,le moule,16.33,-61.35,78.8,83.0,0.0,3.6,GP,06/24/2020
207,sitka,57.05,-135.33,51.8,81.0,90.0,3.6,US,06/24/2020
208,raga,8.46,25.68,70.19600000000005,95.0,100.0,1.67,SS,06/24/2020
209,norman wells,65.28,-126.83,51.8,81.0,90.0,4.1,CA,06/24/2020
210,kropotkin,45.44,40.58,63.96800000000009,95.0,99.0,2.49,RU,06/24/2020
213,aykhal,66.0,111.5,75.2,29.0,0.0,2.0,RU,06/24/2020
214,veere,51.55,3.67,69.8,56.0,0.0,4.6,NL,06/24/2020
215,san vicente,-26.62,-54.13,67.62200000000004,66.0,9.0,3.3,AR,06/24/2020
216,high level,58.52,-117.14,73.4,28.0,75.0,2.6,CA,06/24/2020
217,nuuk,64.18,-51.72,41.0,80.0,86.0,2.1,GL,06/24/2020
218,corn island,12.17,-83.04,82.31000000000009,78.0,100.0,8.97,NI,06/24/2020
219,puerto del rosario,28.5,-13.86,71.6,73.0,75.0,6.7,ES,06/24/2020
220,touros,-5.2,-35.46,75.2,78.0,75.0,2.1,BR,06/24/2020
221,tilichiki,60.47,166.1,66.56000000000009,47.0,97.0,6.96,RU,06/24/2020
222,iqaluit,63.75,-68.51,48.2,81.0,75.0,3.1,CA,06/24/2020
223,wanning,18.8,110.4,87.51200000000006,74.0,100.0,6.34,CN,06/24/2020
225,tukrah,32.53,20.58,69.17000000000006,81.0,0.0,2.8,LY,06/24/2020
226,leninsk,48.71,45.2,59.0,87.0,22.0,6.0,RU,06/24/2020
227,guanica,17.97,-66.91,80.99600000000005,80.0,0.0,4.77,PR,06/24/2020
228,lompoc,34.64,-120.46,64.99400000000007,72.0,23.0,6.7,US,06/24/2020
229,ancud,-41.87,-73.82,39.992,100.0,20.0,1.0,CL,06/24/2020
230,sayyan,15.17,44.32,63.28399999999999,41.0,61.0,0.81,YE,06/24/2020
231,makakilo city,21.35,-158.09,87.8,58.0,75.0,3.1,US,06/24/2020
232,butaritari,3.07,172.79,84.18200000000002,75.0,32.0,5.8,KI,06/24/2020
234,vila velha,-20.33,-40.29,68.0,88.0,6.0,2.1,BR,06/24/2020
235,nabire,-3.37,135.48,83.48000000000005,71.0,97.0,1.85,ID,06/24/2020
236,leningradskiy,69.38,178.42,35.492,82.0,100.0,6.15,RU,06/24/2020
237,rio gallegos,-51.62,-69.22,35.6,79.0,100.0,5.1,AR,06/24/2020
238,san patricio,19.22,-104.7,82.4,83.0,75.0,3.1,MX,06/24/2020
239,tiquisate,14.28,-91.37,78.38600000000007,87.0,99.0,0.08,GT,06/24/2020
240,faanui,-16.48,-151.75,79.89800000000002,82.0,12.0,3.66,PF,06/24/2020
241,pisco,-13.7,-76.22,62.6,82.0,90.0,1.5,PE,06/24/2020
242,dubbo,-32.25,148.62,53.6,87.0,75.0,4.1,AU,06/24/2020
243,mar del plata,-38.0,-57.56,51.998000000000026,87.0,92.0,1.5,AR,06/24/2020
244,isangel,-19.55,169.27,76.82000000000006,80.0,72.0,4.9,VU,06/24/2020
245,tura,25.52,90.22,79.57400000000001,89.0,78.0,3.49,IN,06/24/2020
246,atambua,-9.11,124.89,80.88800000000005,62.0,64.0,1.19,ID,06/24/2020
248,dingle,11.0,122.67,86.59400000000008,69.0,100.0,3.15,PH,06/24/2020
249,mitsamiouli,-11.38,43.28,78.15200000000007,75.0,0.0,3.87,KM,06/24/2020
250,wexford,52.33,-6.46,60.998000000000026,91.0,96.0,5.57,IE,06/24/2020
251,iki-burul,45.82,44.65,64.4,68.0,100.0,9.0,RU,06/24/2020
252,surab,28.49,66.26,71.90600000000003,64.0,0.0,2.17,PK,06/24/2020
253,pevek,69.7,170.31,32.88200000000002,93.0,100.0,2.16,RU,06/24/2020
254,kysyl-syr,63.9,122.76,78.17000000000006,32.0,0.0,4.56,RU,06/24/2020
255,aleksandrovka,46.84,32.76,64.5260000000001,83.0,32.0,4.87,UA,06/24/2020
258,sawakin,19.11,37.33,82.77800000000006,58.0,81.0,1.78,SD,06/24/2020
259,veraval,20.9,70.37,85.658,73.0,34.0,3.36,IN,06/24/2020
261,ilulissat,69.22,-51.1,41.0,80.0,13.0,1.5,GL,06/24/2020
262,ihosy,-22.4,46.12,58.24400000000007,90.0,67.0,3.81,MG,06/24/2020
263,sao joao da barra,-21.64,-41.05,69.40400000000005,82.0,100.0,5.73,BR,06/24/2020
264,batemans bay,-35.72,150.18,66.99199999999999,48.0,0.0,0.25,AU,06/24/2020
265,the valley,18.22,-63.06,84.2,74.0,20.0,6.7,AI,06/24/2020
266,lagoa,39.05,-27.98,63.391999999999996,71.0,0.0,4.17,PT,06/24/2020
267,yelatma,54.97,41.75,48.056000000000026,82.0,0.0,2.43,RU,06/24/2020
268,coquimbo,-29.95,-71.34,51.8,87.0,0.0,2.6,CL,06/24/2020
270,asfi,32.3,-9.24,68.9,80.0,100.0,3.09,MA,06/24/2020
271,qasigiannguit,68.82,-51.19,41.0,80.0,47.0,1.5,GL,06/24/2020
272,jalu,29.03,21.55,72.87800000000007,58.0,0.0,5.29,LY,06/24/2020
273,champerico,14.3,-91.92,83.192,71.0,100.0,0.55,GT,06/24/2020
274,nioro,13.35,-15.75,82.59800000000003,69.0,77.0,2.4,GM,06/24/2020
275,souillac,-20.52,57.52,71.6,88.0,75.0,6.7,MU,06/24/2020
276,fortuna,40.6,-124.16,64.99400000000007,87.0,75.0,5.7,US,06/24/2020
278,diamantino,-14.41,-56.45,71.87000000000006,57.0,0.0,1.54,BR,06/24/2020
279,lere,10.39,8.57,71.65400000000005,85.0,100.0,2.68,NG,06/24/2020
280,goderich,43.75,-81.72,62.99600000000005,73.0,100.0,3.89,CA,06/24/2020
281,rocha,-34.48,-54.33,57.272000000000034,97.0,94.0,2.66,UY,06/24/2020
282,xingyi,24.19,102.82,71.88800000000005,80.0,97.0,1.24,CN,06/24/2020
283,shimoda,34.67,138.95,68.0,100.0,75.0,4.6,JP,06/24/2020
284,sao filipe,14.9,-24.5,75.61400000000003,84.0,1.0,3.39,CV,06/24/2020
285,sinnamary,5.38,-52.95,78.24199999999999,85.0,48.0,2.69,GF,06/24/2020
286,te anau,-45.42,167.72,44.582000000000015,72.0,35.0,0.56,NZ,06/24/2020
287,saint-joseph,-21.37,55.62,68.0,72.0,20.0,2.1,RE,06/24/2020
288,beringovskiy,63.05,179.32,40.31600000000001,92.0,98.0,3.95,RU,06/24/2020
289,longyearbyen,78.22,15.64,42.8,87.0,90.0,1.5,SJ,06/24/2020
290,motala,58.54,15.04,60.8,93.0,0.0,0.81,SE,06/24/2020
291,batticaloa,7.71,81.69,80.65400000000005,74.0,99.0,1.95,LK,06/24/2020
292,geraldton,-28.77,114.6,60.8,63.0,0.0,5.1,AU,06/24/2020
293,broome,42.25,-75.83,64.4,63.0,40.0,2.6,US,06/24/2020
294,otukpo,7.19,8.13,72.91400000000003,98.0,100.0,2.16,NG,06/24/2020
295,milas,37.32,27.78,66.2,88.0,0.0,1.81,TR,06/24/2020
296,marsh harbour,26.54,-77.06,82.63399999999999,78.0,98.0,3.71,BS,06/24/2020
297,kavaratti,10.57,72.64,83.94800000000002,74.0,95.0,4.73,IN,06/24/2020
298,flinders,-34.58,150.86,64.99400000000007,56.0,0.0,4.02,AU,06/24/2020
299,pangnirtung,66.15,-65.71,41.46800000000009,83.0,99.0,0.2,CA,06/24/2020
300,phonhong,18.5,102.42,82.4,88.0,75.0,1.0,LA,06/24/2020
301,vitim,59.45,112.56,67.67600000000009,64.0,78.0,0.43,RU,06/24/2020
302,cap-aux-meules,47.38,-61.86,66.2,82.0,20.0,6.2,CA,06/24/2020
303,tessalit,20.2,1.01,89.042,17.0,82.0,1.38,ML,06/24/2020
304,harlingen,26.19,-97.7,78.99800000000002,94.0,90.0,5.1,US,06/24/2020
305,dunmore east,52.15,-6.99,60.998000000000026,88.0,100.0,2.24,IE,06/24/2020
306,severo-kurilsk,50.68,156.12,52.97000000000006,76.0,39.0,3.68,RU,06/24/2020
307,saldanha,-33.01,17.94,55.4,87.0,0.0,1.0,ZA,06/24/2020
308,moanda,-1.56,13.22,70.39400000000008,89.0,88.0,1.06,GA,06/24/2020
309,asau,46.43,26.4,60.998000000000026,94.0,10.0,1.46,RO,06/24/2020
310,maragogi,-9.01,-35.22,75.25400000000005,85.0,0.0,4.42,BR,06/24/2020
